ZOOM,PRUEBA,MODEL,BATCH_SIZE,EPOCH,CURRENT_LOSS,ACCURACY,ESTRATO_1,ESTRATO_2,ESTRATO_3,ESTRATO_4,ESTRATO_5,ESTRATO_6,NO_DEFINIDO,PRECISION,RECALL,F1_SCORE,MEAN_IOU,RUN_TIME
13_SIMPLE,1,FC-DenseNet56,1,50,0.0,0.6307768399999999,0.007652599999999999,0.3525493399999998,0.61222496,0.011561080000000001,0.00405964,0.5,1.0,0.760601590717123,0.6307768249511718,0.6643754993548561,0.21014110586305892, 0 hours 28 minutes 16 seconds
13_SIMPLE,2,FC-DenseNet56,1,70,0.0,0.6751248428571428,0.012472957142857143,0.36245621428571423,0.6988464428571429,0.055277485714285715,0.009558857142857142,0.5,1.0,0.7887555359662303,0.6751249040876116,0.7086521025533367,0.2347457687829246, 0 hours 31 minutes 0 seconds
13_SIMPLE,3,Encoder-Decoder,1,70,0.0,0.40540574285714287,0.004943699999999999,0.2588160285714287,0.26704102857142864,0.021256642857142856,0.0005111000000000001,0.5,1.0,0.4712922369319422,0.405405752999442,0.4142058138606432,0.11202454927000265, 0 hours 31 minutes 50 seconds
13_SIMPLE,4,Encoder-Decoder,2,70,0.0,0.4574135571428569,0.02023364285714286,0.22882377142857138,0.3015816142857143,0.026184185714285713,0.00405885714285714,0.5071428571428571,1.0,0.585847270699082,0.45741359165736606,0.48400659971186427,0.12848472284540466, 0 hours 28 minutes 25 seconds
13_SIMPLE,5,Encoder-Decoder-Skip,1,70,0.0,0.6307430571428572,0.05924124285714286,0.39529825714285705,0.6209946571428572,0.1454539857142857,0.012792485714285715,0.5428571428571428,1.0,0.6901273553753311,0.6307430812290736,0.6325769056820589,0.2395232468752426, 0 hours 41 minutes 20 seconds
13_SIMPLE,6,Encoder-Decoder-Skip,2,70,0.0,0.5978209285714284,0.17798247142857138,0.2945632714285714,0.6170316285714288,0.12200498571428572,0.010042814285714288,0.5,1.0,0.6851092196910029,0.5978209359305245,0.6010534504301427,0.22033430868049186, 0 hours 33 minutes 4 seconds
13_SIMPLE,7,FRRN-A,1,70,0.0,0.5861203142857144,0.04659388571428572,0.2951834571428572,0.554695957142857,0.3026262,0.016010328571428575,0.5,1.0,0.6824699734164823,0.5861202784946986,0.6011919911862119,0.21798261397259336, 0 hours 43 minutes 11 seconds
13_SIMPLE,8,MobileUNet,1,70,0.0,0.3323902000000001,0.18618181428571423,0.1312055142857143,0.04881342857142858,0.002043514285714285,0.0023786857142857123,0.5071428571428571,1.0,0.5846697440952043,0.3323901585170201,0.38652624610600345,0.08044205562823202, 0 hours 18 minutes 3 seconds
13_SIMPLE,9,MobileUNet,2,70,0.0,0.3155563857142858,0.08870158571428567,0.2000289142857143,0.11759268571428577,0.11453092857142858,0.009712457142857149,0.5071428571428571,1.0,0.5029770126317369,0.3155564444405692,0.35230022844785885,0.08467495374932622, 0 hours 18 minutes 57 seconds
13_SIMPLE,10,MobileUNet-Skip,1,70,0.0,0.5821074285714285,0.17153124285714286,0.2626116571428571,0.6128245999999999,0.04971915714285714,0.014128557142857143,0.5,1.0,0.6607127351965651,0.582107434953962,0.5867549024302938,0.20574247823820332, 0 hours 15 minutes 34 seconds
13_SIMPLE,11,MobileUNet-Skip,2,70,0.0,0.49522757142857116,0.05099852857142855,0.32468574285714286,0.3902498714285715,0.05142524285714286,0.09944065714285714,0.5,1.0,0.5232247454170885,0.49522759573800224,0.48120039516785723,0.1736814910007426, 0 hours 15 minutes 17 seconds
13_COMPOUND,1,FC-DenseNet56,1,50,0.0,0.6452149,0.007124779999999997,0.34301677999999997,0.6557475400000001,0.0177054,0.006229920000000001,0.5,1.0,0.765938976038419,0.64521484375,0.6779842695133104,0.21690579468391377, 0 hours 22 minutes 25 seconds
13_COMPOUND,2,FC-DenseNet56,1,70,0.0,0.6610727857142861,0.01513415714285714,0.3457358571428571,0.7097095428571429,0.014614771428571429,0.006769099999999998,0.5,1.0,0.7805664575678201,0.6610727582659041,0.6920547304748168,0.22658513451705012, 0 hours 33 minutes 13 seconds
13_COMPOUND,3,Encoder-Decoder,1,70,0.0,0.4179727999999998,0.020859671428571428,0.1958458857142858,0.3384852714285713,0.06564171428571429,0.00028778571428571427,0.5,1.0,0.47759700894554086,0.41797289167131696,0.4221732414366136,0.11987908415496273, 0 hours 32 minutes 42 seconds
13_COMPOUND,4,Encoder-Decoder,2,70,0.0,0.4496150428571429,0.0003866428571428571,0.1701901,0.3916714571428571,0.018429257142857147,0.005757971428571424,0.5,1.0,0.5794552033032643,0.4496150425502232,0.47651328209356947,0.12220489829346488, 0 hours 34 minutes 12 seconds
13_COMPOUND,5,Encoder-Decoder-Skip,1,70,0.0,0.6639818571428572,0.09384369999999999,0.3320619142857142,0.7177955,0.3207788142857143,0.009459457142857144,0.5,1.0,0.7533937297117586,0.6639818464006696,0.6740736625331001,0.2537260734950763, 0 hours 34 minutes 48 seconds
13_COMPOUND,6,Encoder-Decoder-Skip,2,70,0.0,0.5915452428571427,0.1308625714285715,0.3436563142857143,0.5481619571428572,0.06223590000000001,0.02741668571428571,0.5071428571428571,1.0,0.6658841985668158,0.5915452139718193,0.5974961516977031,0.21537318027306787, 0 hours 28 minutes 26 seconds
13_COMPOUND,7,FRRN-A,1,70,0.0,0.5945564571428573,0.05935951428571428,0.28822502857142845,0.5009463285714286,0.2305352285714286,0.012836499999999994,0.5,1.0,0.672377859066272,0.5945565359933036,0.6047032653865134,0.21185471406408352, 0 hours 27 minutes 57 seconds
