ZOOM,TYPE,PER_ESTRATO_1,PER_ESTRATO_2,PER_ESTRATO_3,PER_ESTRATO_4,PER_ESTRATO_5,PER_ESTRATO_6,PER_NO_DEFINIDO
13_SIMPLE,train,2.897208077566964,12.079729352678571,13.635035923549108,3.167724609375,0.9552001953125,0.40719168526785715,66.85791015625
13_SIMPLE,val,7.42340087890625,21.501922607421875,25.90789794921875,2.60467529296875,1.06658935546875,0.000762939453125,41.4947509765625
13_COMPOUND,train,2.897208077566964,12.079729352678571,13.635035923549108,3.167724609375,0.9552001953125,0.40719168526785715,66.85791015625
13_COMPOUND,val,7.42340087890625,21.501922607421875,25.90789794921875,2.60467529296875,1.06658935546875,0.000762939453125,41.4947509765625
14_SIMPLE,train,3.0743281046549478,14.556503295898438,16.084988911946613,3.6918004353841147,2.5849660237630205,1.752026875813802,58.25538635253908
14_SIMPLE,val,5.253728230794271,10.547129313151043,15.507761637369793,6.889025370279948,3.952662150065104,3.0911127726236978,54.75858052571614
14_COMPOUND,train,3.0743281046549478,14.556503295898438,16.084988911946613,3.6918004353841147,2.5849660237630205,1.752026875813802,58.25538635253908
14_COMPOUND,val,5.253728230794271,10.547129313151043,15.507761637369793,6.889025370279948,3.952662150065104,3.0911127726236978,54.75858052571614
15_SIMPLE,train,2.6225343042490437,14.526273766342477,16.84383470184949,4.65953593351403,2.8771848094706627,2.0178502919722576,56.45278619260205
15_SIMPLE,val,5.68971421983507,11.387820773654513,16.563991970486107,6.037665473090279,3.6206393771701393,3.8145277235243062,52.88564046223958
15_COMPOUND,train,2.6225343042490437,14.526273766342477,16.84383470184949,4.65953593351403,2.8771848094706627,2.0178502919722576,56.45278619260205
15_COMPOUND,val,5.68971421983507,11.387820773654513,16.563991970486107,6.037665473090279,3.6206393771701393,3.8145277235243062,52.88564046223958
